representation,clustering_method,parameter_type,parameter_value_numeric,trial_count,seed_count,silhouette_mean,silhouette_std,inertia_mean,bic_mean
doc2vec,agglomerative,k,2,5,5,0.31131585389375693,0.48867606117032053,,
doc2vec,agglomerative,k,3,5,5,-0.059741723909974065,0.0349775040446622,,
doc2vec,agglomerative,k,4,5,5,-0.07469515353441233,0.025459021404379223,,
doc2vec,agglomerative,k,5,5,5,-0.0876955986022949,0.014292546917691471,,
doc2vec,agglomerative,k,8,5,5,-0.0984969317913055,0.010118213161636573,,
doc2vec,agglomerative,k,10,5,5,-0.08765518069267268,0.008925307921589859,,
doc2vec,agglomerative,k,15,5,5,-0.05536450594663615,0.01598576667626711,,
doc2vec,agglomerative,k,20,5,5,-0.03839635886251924,0.0073968853609351825,,
doc2vec,agglomerative,k,30,5,5,-0.03008565753698344,0.0044317205456032615,,
doc2vec,agglomerative,k,40,5,5,-0.01827371753752226,0.003115057763598494,,
doc2vec,agglomerative,k,50,5,5,-0.01498843729495998,0.0016699520679485222,,
doc2vec,agglomerative,k,75,5,5,-9.601861238482009e-05,0.0024168382260434996,,
doc2vec,agglomerative,k,100,5,5,-0.04152628853917118,0.0031157602652311634,,
doc2vec,gmm,n_components,2,20,5,0.24305963218212123,0.006841692342495361,,5924883.987720048
doc2vec,gmm,n_components,3,20,5,-0.02794696493074293,0.014652030390877535,,5684763.899954319
doc2vec,gmm,n_components,4,20,5,-0.0669374924153089,0.002124958190117322,,5467144.852557764
doc2vec,gmm,n_components,5,20,5,-0.06367326881736513,0.004675654814035333,,5412579.255457732
doc2vec,gmm,n_components,8,20,5,-0.04965902436524625,0.003737362366762534,,5295178.999264832
doc2vec,gmm,n_components,10,20,5,-0.04706077612936492,0.0037366734350252192,,5256621.041806568
doc2vec,gmm,n_components,15,20,5,-0.05596690615639086,0.030995324832244157,,5192137.267389646
doc2vec,gmm,n_components,20,20,5,-0.08814698979258531,0.0038876121039421925,,5126818.692739697
doc2vec,gmm,n_components,30,20,5,-0.07828847952187058,0.004024142790932739,,5072381.777648978
doc2vec,gmm,n_components,40,20,5,-0.07202893234789368,0.001987436637961746,,5025273.30545795
doc2vec,gmm,n_components,50,20,5,-0.06498785503208632,0.002119107623280474,,4998007.536835026
doc2vec,gmm,n_components,75,20,5,-0.06977804284542796,0.002781397338017017,,4943088.62793001
doc2vec,gmm,n_components,100,20,5,-0.06495145354419943,0.0027854715585263236,,4906299.06417427
doc2vec,kmeans,k,2,5,5,0.10781690087169407,0.06960599563370067,2464845.7,
doc2vec,kmeans,k,3,5,5,0.013554123975336521,0.021322560975875114,2433368.85,
doc2vec,kmeans,k,4,5,5,0.004989221319556221,0.01807260034441849,2404635.0,
doc2vec,kmeans,k,5,5,5,0.0013884254731238003,0.016321654247508314,2375912.25,
doc2vec,kmeans,k,8,5,5,-0.00868987040594216,0.0022399145133941848,2301709.7,
doc2vec,kmeans,k,10,5,5,-0.01193218883126968,0.008118609110129711,2260115.05,
doc2vec,kmeans,k,15,5,5,-0.00970102781429882,0.009794528620410015,2161293.8,
doc2vec,kmeans,k,20,5,5,-0.015277385292574741,0.013245861164874225,2081047.0,
doc2vec,kmeans,k,30,5,5,-0.017928027175366863,0.015644160485978144,1946973.85,
doc2vec,kmeans,k,40,5,5,-0.023180978745222038,0.004393801023294739,1849599.45,
doc2vec,kmeans,k,50,5,5,-0.026930044963955818,0.0037902903527351228,1768873.6,
doc2vec,kmeans,k,75,5,5,-0.029340945556759822,0.0038042994917228358,1641066.575,
doc2vec,kmeans,k,100,5,5,-0.030153908208012538,0.001609551351839184,1558075.15,
sbert,agglomerative,k,2,5,5,0.07726849652826781,0.04804205897787731,,
sbert,agglomerative,k,3,5,5,0.09957476109266278,0.0236322806547579,,
sbert,agglomerative,k,4,5,5,0.10263575762510294,0.031824859127233554,,
sbert,agglomerative,k,5,5,5,0.11399201154708857,0.0049309637536764685,,
sbert,agglomerative,k,8,5,5,0.1839097589254379,0.010626447738154993,,
sbert,agglomerative,k,10,5,5,0.20829417407512665,0.010867486951562142,,
sbert,agglomerative,k,15,5,5,0.3252170443534851,0.023868616943940518,,
sbert,agglomerative,k,20,5,5,0.3713113844394683,0.004664911043667145,,
sbert,agglomerative,k,30,5,5,0.4408493459224701,0.0077689697213986966,,
sbert,agglomerative,k,40,5,5,0.4659759998321533,0.00789858203716123,,
sbert,agglomerative,k,50,5,5,0.4878877103328705,0.004263955152675744,,
sbert,agglomerative,k,75,5,5,0.5552335023880005,0.005308368989357325,,
sbert,agglomerative,k,100,5,5,0.588212537765503,0.00305990822440855,,
sbert,gmm,n_components,2,20,5,0.09428506232798098,0.09672280923557061,,4549902.415977566
sbert,gmm,n_components,3,20,5,0.07536885440349575,0.08109066937887424,,4076970.188392043
sbert,gmm,n_components,4,20,5,0.11441083736717697,0.013732057561140425,,2857556.328160666
sbert,gmm,n_components,5,20,5,0.11099052578210826,0.008661966757576104,,2641008.974979904
sbert,gmm,n_components,8,20,5,0.1909468382596969,0.03708128234669609,,643608.2583417991
sbert,gmm,n_components,10,20,5,0.24436548799276347,0.028958170142607355,,-696057.0076472791
sbert,gmm,n_components,15,20,5,0.28623377531766886,0.0448364198587156,,-1291141.717876806
sbert,gmm,n_components,20,20,5,0.3392197504639626,0.05928386431836429,,-2031783.4115740615
sbert,gmm,n_components,30,20,5,0.42328967452049254,0.060041369163136314,,-4244365.036844317
sbert,gmm,n_components,40,20,5,0.49814115911722184,0.009242145464919633,,-6900801.416749753
sbert,gmm,n_components,50,20,5,0.5241446286439896,0.0037148065733466815,,-7318627.539450852
sbert,gmm,n_components,75,20,5,0.561016508936882,0.0026522397681122234,,-8271780.878925147
sbert,gmm,n_components,100,20,5,0.5825261861085892,0.006168304692534274,,-8785062.85208892
sbert,kmeans,k,2,5,5,0.28543637990951537,0.026127662193062184,2453337.65,
sbert,kmeans,k,3,5,5,0.07499474082142116,0.18058557062807737,2410227.6,
sbert,kmeans,k,4,5,5,-0.00735520655289292,0.04054056395727732,2366698.25,
sbert,kmeans,k,5,5,5,-0.02302451282739636,0.017583280137578452,2323084.65,
sbert,kmeans,k,8,5,5,0.0174477033317089,0.03696959039739478,2202776.75,
sbert,kmeans,k,10,5,5,0.08668795675039288,0.055045102155390616,2126941.25,
sbert,kmeans,k,15,5,5,0.17629043161869046,0.03730781790451162,1951343.575,
sbert,kmeans,k,20,5,5,0.2717741519212723,0.030456976016104958,1791441.75,
sbert,kmeans,k,30,5,5,0.39051948189735414,0.015905751661616094,1538129.4,
sbert,kmeans,k,40,5,5,0.4509123504161835,0.024365888245640267,1375013.15,
sbert,kmeans,k,50,5,5,0.4853827774524689,0.007352817281376751,1266579.75,
sbert,kmeans,k,75,5,5,0.5477566242218017,0.004525545217702086,1071789.325,
sbert,kmeans,k,100,5,5,0.5805429339408874,0.004724387776932018,963047.4875,
tfidf,agglomerative,k,2,5,5,0.2031376332044601,0.021088500733079357,,
tfidf,agglomerative,k,3,5,5,0.16966487914323802,0.06984186038578873,,
tfidf,agglomerative,k,4,5,5,0.17792241796851155,0.06922317324811865,,
tfidf,agglomerative,k,5,5,5,0.09635152667760845,0.0595680037645257,,
tfidf,agglomerative,k,8,5,5,0.10268347859382625,0.00924746976292662,,
tfidf,agglomerative,k,10,5,5,0.13221976459026333,0.02238353303279443,,
tfidf,agglomerative,k,15,5,5,0.25863590538501735,0.01387046888820926,,
tfidf,agglomerative,k,20,5,5,0.3276921272277832,0.019067937700713945,,
tfidf,agglomerative,k,30,5,5,0.48876333236694336,0.013377776451543064,,
tfidf,agglomerative,k,40,5,5,0.6031352400779724,0.009322579040453157,,
tfidf,agglomerative,k,50,5,5,0.6732762813568115,0.00840195953830754,,
tfidf,agglomerative,k,75,5,5,0.7584713816642761,0.006436370659410089,,
tfidf,agglomerative,k,100,5,5,0.7852674126625061,0.005179341237811647,,
tfidf,gmm,n_components,2,20,5,0.2205968677997589,0.08554118047692659,,4084207.3163491683
tfidf,gmm,n_components,3,20,5,0.1404219906777143,0.08461851360169928,,2187371.3150987998
tfidf,gmm,n_components,4,20,5,0.14492502324283119,0.04103834078463169,,356081.91821662954
tfidf,gmm,n_components,5,20,5,0.1366904973983764,0.031115999998208778,,-1490280.7749101627
tfidf,gmm,n_components,8,20,5,0.17010680511593818,0.0167953474740484,,-2959915.769176704
tfidf,gmm,n_components,10,20,5,0.18463188782334322,0.024694020494459273,,-3374649.515838336
tfidf,gmm,n_components,15,20,5,0.23726780414581294,0.013209055080139538,,-4404845.7292694915
tfidf,gmm,n_components,20,20,5,0.3379854321479797,0.044421702651827676,,-6108423.344042217
tfidf,gmm,n_components,30,20,5,0.4927589863538742,0.042976577047300846,,-8323257.693595502
tfidf,gmm,n_components,40,20,5,0.5882319450378418,0.0131578408976251,,-10041079.151974153
tfidf,gmm,n_components,50,20,5,0.6296498388051986,0.010528230746047511,,-10576425.494858872
tfidf,gmm,n_components,75,20,5,0.7040942221879959,0.011760772466927147,,-12110874.27407206
tfidf,gmm,n_components,100,20,5,0.7271741539239883,0.014470083211625089,,-12795168.027144179
tfidf,kmeans,k,2,5,5,0.3043055534362793,0.06072458813571119,2430506.6,
tfidf,kmeans,k,3,5,5,0.23187480866909022,0.06544331500039594,2374992.2,
tfidf,kmeans,k,4,5,5,0.09532903917133806,0.1209508368832651,2324709.6,
tfidf,kmeans,k,5,5,5,0.09017424173653123,0.10819889296653112,2277261.4,
tfidf,kmeans,k,8,5,5,0.06315619647502896,0.07428095756284858,2114203.65,
tfidf,kmeans,k,10,5,5,0.08563786782324312,0.0433717472816143,2012955.75,
tfidf,kmeans,k,15,5,5,0.12166585028171535,0.038455761102299056,1772372.55,
tfidf,kmeans,k,20,5,5,0.23499905467033383,0.03143561001445388,1547238.1,
tfidf,kmeans,k,30,5,5,0.4740121901035309,0.049368037298475366,1110292.325,
tfidf,kmeans,k,40,5,5,0.602150273323059,0.0032445363062930835,744925.3375,
tfidf,kmeans,k,50,5,5,0.6783951044082641,0.00834207066109351,500391.50625,
tfidf,kmeans,k,75,5,5,0.7546718001365662,0.009481427572094739,302102.5875,
tfidf,kmeans,k,100,5,5,0.782728123664856,0.0046108092572397655,226940.753125,
word2vec,agglomerative,k,2,5,5,0.060454280301928495,0.05548053681298725,,
word2vec,agglomerative,k,3,5,5,0.07064270786941049,0.03293505123809652,,
word2vec,agglomerative,k,4,5,5,0.07575735673308368,0.026322355199713963,,
word2vec,agglomerative,k,5,5,5,0.11592833697795864,0.007317993818267094,,
word2vec,agglomerative,k,8,5,5,0.20114993751049037,0.03224161731256074,,
word2vec,agglomerative,k,10,5,5,0.27525403499603274,0.016408455339047286,,
word2vec,agglomerative,k,15,5,5,0.3294591844081879,0.0025149590937434663,,
word2vec,agglomerative,k,20,5,5,0.3899814307689667,0.004109494144552446,,
word2vec,agglomerative,k,30,5,5,0.44091084599494934,0.0079983123075789,,
word2vec,agglomerative,k,40,5,5,0.49305227398872375,0.005007027755974086,,
word2vec,agglomerative,k,50,5,5,0.528361189365387,0.009998960027128979,,
word2vec,agglomerative,k,75,5,5,0.5783421754837036,0.006033491653689126,,
word2vec,agglomerative,k,100,5,5,0.6371070981025696,0.00611761154247814,,
word2vec,gmm,n_components,2,20,5,0.02147173982812092,0.10413286251798451,,5602878.472348937
word2vec,gmm,n_components,3,20,5,0.08571970686316485,0.04076775246069023,,3982016.316356305
word2vec,gmm,n_components,4,20,5,0.10946334078907963,0.02286306374030491,,3057634.005371544
word2vec,gmm,n_components,5,20,5,0.1304675374180078,0.014339034756902968,,2762488.175898145
word2vec,gmm,n_components,8,20,5,0.214146526902914,0.025082030847040276,,-63253.67577369502
word2vec,gmm,n_components,10,20,5,0.2655470915138721,0.03073033500774671,,-1733083.7920001666
word2vec,gmm,n_components,15,20,5,0.34049820601940156,0.033698617627417264,,-3414798.054604031
word2vec,gmm,n_components,20,20,5,0.3872101217508316,0.040543284442731926,,-4587684.445266984
word2vec,gmm,n_components,30,20,5,0.48289889842271805,0.009998553482824213,,-6398429.676880577
word2vec,gmm,n_components,40,20,5,0.5175637066364288,0.008159626369681478,,-6945683.376880467
word2vec,gmm,n_components,50,20,5,0.5382976472377777,0.006771888796745658,,-7087046.37582586
word2vec,gmm,n_components,75,20,5,0.6002613216638565,0.017051505240939662,,-8613920.700931717
word2vec,gmm,n_components,100,20,5,0.6330995440483094,0.008452415388363704,,-9713013.83295481
word2vec,kmeans,k,2,5,5,0.012682348862290402,0.07315903532993474,2451652.9,
word2vec,kmeans,k,3,5,5,0.05515106208622452,0.09214048902696872,2407084.4,
word2vec,kmeans,k,4,5,5,0.009164634253829738,0.0670084993420793,2367972.0,
word2vec,kmeans,k,5,5,5,0.016662985458970082,0.07517100402520337,2325349.15,
word2vec,kmeans,k,8,5,5,0.03893039664253592,0.056743300488506884,2204093.85,
word2vec,kmeans,k,10,5,5,0.07750758081674572,0.009631065349529275,2125258.3,
word2vec,kmeans,k,15,5,5,0.16738747656345368,0.02794236492895182,1939758.525,
word2vec,kmeans,k,20,5,5,0.2237278193235397,0.03639645125619183,1771759.475,
word2vec,kmeans,k,30,5,5,0.38855165243148804,0.022811267300097363,1466403.85,
word2vec,kmeans,k,40,5,5,0.4821682095527649,0.008632124325510533,1228804.225,
word2vec,kmeans,k,50,5,5,0.5224774599075317,0.01683039841300675,1058456.175,
word2vec,kmeans,k,75,5,5,0.5874714016914367,0.004613227260686132,831296.725,
word2vec,kmeans,k,100,5,5,0.6283124685287476,0.008119337991995206,697190.1,
