representation,sample_size,seed,embedding_time_s,peak_memory_mb,device,embedding_cache_key,embedding_cache_path,embedding_cache_hit,tfidf_features,tfidf_max_features,tfidf_min_df,tfidf_max_df,tfidf_svd_applied,tfidf_svd_components,embedding_dimensions,requested_pca_components,pca_applied,effective_dimensions,clustering_method,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,silhouette_all,calinski_harabasz_all,davies_bouldin_all,inertia,bic,aic,pca_explained_variance_ratio,dataset,experiment
tfidf,50000,42,3.097,110.138,cpu,tfidf_21e201679651b82c,reports\week4_pilot\primary_k_sensitivity_seed42\cache\tfidf_21e201679651b82c.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 50}",67.021,,50,0,0.0,0.6867422461509705,4050.0004150841023,1.1066840454298097,,,,,,,,scenario-1,k-sensitivity
tfidf,50000,101,5.516,110.163,cpu,tfidf_552d73562a74a5ad,reports\week4\primary_k_sensitivity_seed101\cache\tfidf_552d73562a74a5ad.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 50}",60.196,,50,0,0.0,0.6720614433288574,3784.840908596308,0.9533575135053686,,,,,,,,scenario-1,k-sensitivity
tfidf,50000,123,3.404,110.28,cpu,tfidf_845ed867502f7262,reports\week4\primary_k_sensitivity_seed123\cache\tfidf_845ed867502f7262.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 50}",65.907,,50,0,0.0,0.6660455465316772,3762.306228926721,0.881686949966071,,,,,,,,scenario-1,k-sensitivity
tfidf,50000,456,5.224,110.309,cpu,tfidf_f072693cb3bb6302,reports\week4\primary_k_sensitivity_seed456\cache\tfidf_f072693cb3bb6302.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 50}",87.324,,50,0,0.0,0.6666020750999451,3792.37080558184,0.9908375916219312,,,,,,,,scenario-1,k-sensitivity
tfidf,50000,789,5.222,110.356,cpu,tfidf_11effbbb6d7c494d,reports\week4\primary_k_sensitivity_seed789\cache\tfidf_11effbbb6d7c494d.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 50}",86.037,,50,0,0.0,0.6749300956726074,3907.3379205268734,0.9506010787469548,,,,,,,,scenario-1,k-sensitivity
tfidf,50000,42,3.097,110.138,cpu,tfidf_21e201679651b82c,reports\week4_pilot\primary_k_sensitivity_seed42\cache\tfidf_21e201679651b82c.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,kmeans,"{""n_clusters"": 50}",2.19,,50,0,0.0,0.6925815343856812,4240.44388079819,0.8814172539290464,,,,484516.3125,,,,scenario-1,k-sensitivity
tfidf,50000,101,5.516,110.163,cpu,tfidf_552d73562a74a5ad,reports\week4\primary_k_sensitivity_seed101\cache\tfidf_552d73562a74a5ad.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,kmeans,"{""n_clusters"": 50}",16.978,,50,0,0.0,0.67885822057724,4027.6360462865896,0.8866353846592437,,,,504942.53125,,,,scenario-1,k-sensitivity
tfidf,50000,123,3.404,110.28,cpu,tfidf_845ed867502f7262,reports\week4\primary_k_sensitivity_seed123\cache\tfidf_845ed867502f7262.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,kmeans,"{""n_clusters"": 50}",2.233,,50,0,0.0,0.6751145720481873,4060.225198633752,0.8759835770295485,,,,501706.25,,,,scenario-1,k-sensitivity
tfidf,50000,456,5.224,110.309,cpu,tfidf_f072693cb3bb6302,reports\week4\primary_k_sensitivity_seed456\cache\tfidf_f072693cb3bb6302.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,kmeans,"{""n_clusters"": 50}",12.158,,50,0,0.0,0.671843945980072,3959.104792892946,0.8883182172793543,,,,511899.09375,,,,scenario-1,k-sensitivity
tfidf,50000,789,5.222,110.356,cpu,tfidf_11effbbb6d7c494d,reports\week4\primary_k_sensitivity_seed789\cache\tfidf_11effbbb6d7c494d.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,kmeans,"{""n_clusters"": 50}",15.985,,50,0,0.0,0.6735772490501404,4088.894397428844,0.9594864948440672,,,,498893.3125,,,,scenario-1,k-sensitivity
tfidf,50000,42,3.097,110.138,cpu,tfidf_21e201679651b82c,reports\week4_pilot\primary_k_sensitivity_seed42\cache\tfidf_21e201679651b82c.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,dbscan,"{""eps"": 0.959152, ""metric"": ""euclidean"", ""min_samples"": 10}",8.453,,315,4949,0.09898,0.9237567186355592,50337.25704680483,0.232494313416909,0.7657709121704102,728.0434456229156,1.0689654042201675,,,,,scenario-1,k-sensitivity
tfidf,50000,101,5.516,110.163,cpu,tfidf_552d73562a74a5ad,reports\week4\primary_k_sensitivity_seed101\cache\tfidf_552d73562a74a5ad.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,dbscan,"{""eps"": 0.572328, ""metric"": ""euclidean"", ""min_samples"": 5}",16.649,,629,4447,0.08894,0.9284574389457704,96684.63838455932,0.2088750339048705,0.7839799523353577,418.2473152838765,1.058155524742141,,,,,scenario-1,k-sensitivity
tfidf,50000,123,3.404,110.28,cpu,tfidf_845ed867502f7262,reports\week4\primary_k_sensitivity_seed123\cache\tfidf_845ed867502f7262.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,dbscan,"{""eps"": 0.660681, ""metric"": ""euclidean"", ""min_samples"": 5}",6.862,,636,3923,0.07846,0.924285054206848,76993.68609142226,0.2172887090606224,0.7898582220077515,479.9441764175875,1.0615509873331912,,,,,scenario-1,k-sensitivity
tfidf,50000,456,5.224,110.309,cpu,tfidf_f072693cb3bb6302,reports\week4\primary_k_sensitivity_seed456\cache\tfidf_f072693cb3bb6302.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,dbscan,"{""eps"": 0.728918, ""metric"": ""euclidean"", ""min_samples"": 5}",14.481,,620,3784,0.07568,0.9195480346679688,58482.83888367013,0.2299673340101449,0.7870759963989258,499.8944181324055,1.068530447700472,,,,,scenario-1,k-sensitivity
tfidf,50000,789,5.222,110.356,cpu,tfidf_11effbbb6d7c494d,reports\week4\primary_k_sensitivity_seed789\cache\tfidf_11effbbb6d7c494d.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,dbscan,"{""eps"": 0.539451, ""metric"": ""euclidean"", ""min_samples"": 5}",11.508,,637,4468,0.08936,0.9261382818222046,114329.12962417128,0.2115345316506769,0.77520751953125,416.9653887273295,1.0621607038271872,,,,,scenario-1,k-sensitivity
tfidf,50000,42,3.097,110.138,cpu,tfidf_21e201679651b82c,reports\week4_pilot\primary_k_sensitivity_seed42\cache\tfidf_21e201679651b82c.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",41.793,,367,5336,0.10672,0.9321172833442688,18197.630034795733,0.3970752250110873,0.7582345604896545,665.5650236413989,1.0482939992628564,,,,,scenario-1,k-sensitivity
tfidf,50000,101,5.516,110.163,cpu,tfidf_552d73562a74a5ad,reports\week4\primary_k_sensitivity_seed101\cache\tfidf_552d73562a74a5ad.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",82.884,,368,5091,0.10182,0.9283137917518616,14654.354164325749,0.3868281991961196,0.7676984667778015,694.2208551607314,1.0349600377782249,,,,,scenario-1,k-sensitivity
tfidf,50000,123,3.404,110.28,cpu,tfidf_845ed867502f7262,reports\week4\primary_k_sensitivity_seed123\cache\tfidf_845ed867502f7262.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",71.661,,358,4917,0.09834,0.9250829815864564,14370.62225105517,0.3994099625797581,0.7556499242782593,706.1211226495332,1.0604226802853989,,,,,scenario-1,k-sensitivity
tfidf,50000,456,5.224,110.309,cpu,tfidf_f072693cb3bb6302,reports\week4\primary_k_sensitivity_seed456\cache\tfidf_f072693cb3bb6302.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",47.534,,373,5501,0.11002,0.9271267652511596,15137.04832913947,0.4026135749941818,0.7434884905815125,608.2044836498898,1.053043300842878,,,,,scenario-1,k-sensitivity
tfidf,50000,789,5.222,110.356,cpu,tfidf_11effbbb6d7c494d,reports\week4\primary_k_sensitivity_seed789\cache\tfidf_11effbbb6d7c494d.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 15, ""min_samples"": null}",82.411,,368,5162,0.10324,0.929332435131073,16421.96318838957,0.3892234477491513,0.7579209804534912,701.6004968821626,1.052180047768562,,,,,scenario-1,k-sensitivity
tfidf,50000,42,3.097,110.138,cpu,tfidf_21e201679651b82c,reports\week4_pilot\primary_k_sensitivity_seed42\cache\tfidf_21e201679651b82c.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",4.232,,50,0,0.0,0.6231274604797363,2256.679513132348,1.5399252267507677,,,,,-14586826.353497565,-14631357.41405555,,scenario-1,k-sensitivity
tfidf,50000,101,5.516,110.163,cpu,tfidf_552d73562a74a5ad,reports\week4\primary_k_sensitivity_seed101\cache\tfidf_552d73562a74a5ad.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",7.718,,50,0,0.0,0.6203263401985168,2214.031281952026,1.7092811110087751,,,,,-14613211.88280328,-14657742.943361267,,scenario-1,k-sensitivity
tfidf,50000,123,3.404,110.28,cpu,tfidf_845ed867502f7262,reports\week4\primary_k_sensitivity_seed123\cache\tfidf_845ed867502f7262.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",4.509,,50,0,0.0,0.6110256314277649,2266.5475743927886,1.6425657217570595,,,,,-14518166.900485916,-14562697.961043904,,scenario-1,k-sensitivity
tfidf,50000,456,5.224,110.309,cpu,tfidf_f072693cb3bb6302,reports\week4\primary_k_sensitivity_seed456\cache\tfidf_f072693cb3bb6302.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",9.827,,50,0,0.0,0.6188639402389526,2242.6922164023936,1.7003736823751765,,,,,-14297130.600545242,-14341661.66110323,,scenario-1,k-sensitivity
tfidf,50000,789,5.222,110.356,cpu,tfidf_11effbbb6d7c494d,reports\week4\primary_k_sensitivity_seed789\cache\tfidf_11effbbb6d7c494d.npz,False,5000.0,5000.0,5.0,0.95,True,50.0,50,50,False,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",12.294,,50,0,0.0,0.6197830438613892,2205.544083018002,1.773922996974284,,,,,-14846882.041287651,-14891413.10184564,,scenario-1,k-sensitivity
word2vec,50000,42,10.929,104.488,cpu,word2vec_da1df13ea1ae6270,reports\week4_pilot\primary_k_sensitivity_seed42\cache\word2vec_da1df13ea1ae6270.npz,False,,,,,,,100,50,True,50,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 50}",70.09,,50,0,0.0,0.536329984664917,1310.91573652363,1.739707989202251,,,,,,,0.9960249066352844,scenario-1,k-sensitivity
word2vec,50000,101,10.611,97.082,cpu,word2vec_00dd3b9a0f02577b,reports\week4\primary_k_sensitivity_seed101\cache\word2vec_00dd3b9a0f02577b.npz,False,,,,,,,100,50,True,50,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 50}",67.909,,50,0,0.0,0.5364800095558167,1282.525147380026,1.7473214868815905,,,,,,,0.9960289001464844,scenario-1,k-sensitivity
word2vec,50000,123,11.831,104.68,cpu,word2vec_589eceec29fc785c,reports\week4\primary_k_sensitivity_seed123\cache\word2vec_589eceec29fc785c.npz,False,,,,,,,100,50,True,50,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 50}",106.869,,50,0,0.0,0.5122844576835632,1254.3146098328707,1.7054998794870455,,,,,,,0.995886504650116,scenario-1,k-sensitivity
word2vec,50000,456,18.805,97.142,cpu,word2vec_286867f4fc67e1ed,reports\week4\primary_k_sensitivity_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,,,,,,100,50,True,50,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 50}",90.407,,50,0,0.0,0.5308091640472412,1287.9047332434611,1.6984309704346554,,,,,,,0.9962106347084044,scenario-1,k-sensitivity
word2vec,50000,789,18.341,97.412,cpu,word2vec_8a7c6936009c00d7,reports\week4\primary_k_sensitivity_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,,,,,,100,50,True,50,agglomerative,"{""linkage"": ""ward"", ""n_clusters"": 50}",97.288,,50,0,0.0,0.5259023308753967,1266.6584271433608,1.6352630641739132,,,,,,,0.9959251284599304,scenario-1,k-sensitivity
word2vec,50000,42,10.929,104.488,cpu,word2vec_da1df13ea1ae6270,reports\week4_pilot\primary_k_sensitivity_seed42\cache\word2vec_da1df13ea1ae6270.npz,False,,,,,,,100,50,True,50,kmeans,"{""n_clusters"": 50}",3.351,,50,0,0.0,0.5404993891716003,1421.0714327448438,1.5858553041040773,,,,1044256.75,,,0.9960249066352844,scenario-1,k-sensitivity
word2vec,50000,101,10.611,97.082,cpu,word2vec_00dd3b9a0f02577b,reports\week4\primary_k_sensitivity_seed101\cache\word2vec_00dd3b9a0f02577b.npz,False,,,,,,,100,50,True,50,kmeans,"{""n_clusters"": 50}",12.016,,50,0,0.0,0.5025744438171387,1382.8763363572311,1.4660161032680594,,,,1060871.875,,,0.9960289001464844,scenario-1,k-sensitivity
word2vec,50000,123,11.831,104.68,cpu,word2vec_589eceec29fc785c,reports\week4\primary_k_sensitivity_seed123\cache\word2vec_589eceec29fc785c.npz,False,,,,,,,100,50,True,50,kmeans,"{""n_clusters"": 50}",3.946,,50,0,0.0,0.5083204507827759,1375.8808327381332,1.6533965581244483,,,,1063964.0,,,0.995886504650116,scenario-1,k-sensitivity
word2vec,50000,456,18.805,97.142,cpu,word2vec_286867f4fc67e1ed,reports\week4\primary_k_sensitivity_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,,,,,,100,50,True,50,kmeans,"{""n_clusters"": 50}",13.276,,50,0,0.0,0.5369423627853394,1393.978289084295,1.5089124498007769,,,,1055974.5,,,0.9962106347084044,scenario-1,k-sensitivity
word2vec,50000,789,18.341,97.412,cpu,word2vec_8a7c6936009c00d7,reports\week4\primary_k_sensitivity_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,,,,,,100,50,True,50,kmeans,"{""n_clusters"": 50}",16.843,,50,0,0.0,0.5240506529808044,1368.569142942513,1.5748168590678802,,,,1067213.75,,,0.9959251284599304,scenario-1,k-sensitivity
word2vec,50000,42,10.929,104.488,cpu,word2vec_da1df13ea1ae6270,reports\week4_pilot\primary_k_sensitivity_seed42\cache\word2vec_da1df13ea1ae6270.npz,False,,,,,,,100,50,True,50,dbscan,"{""eps"": 1.854439, ""metric"": ""euclidean"", ""min_samples"": 5}",7.747,,682,7593,0.15186,0.9130724668502808,10603.726097117396,0.3679274318040281,0.68630051612854,134.11885804783395,1.2717729687601786,,,,0.9960249066352844,scenario-1,k-sensitivity
word2vec,50000,101,10.611,97.082,cpu,word2vec_00dd3b9a0f02577b,reports\week4\primary_k_sensitivity_seed101\cache\word2vec_00dd3b9a0f02577b.npz,False,,,,,,,100,50,True,50,dbscan,"{""eps"": 2.351011, ""metric"": ""euclidean"", ""min_samples"": 5}",13.328,,664,6813,0.13626,0.8870691657066345,5110.839390527443,0.4702303655614179,0.6906890273094177,146.02343355337246,1.3073815798015416,,,,0.9960289001464844,scenario-1,k-sensitivity
word2vec,50000,123,11.831,104.68,cpu,word2vec_589eceec29fc785c,reports\week4\primary_k_sensitivity_seed123\cache\word2vec_589eceec29fc785c.npz,False,,,,,,,100,50,True,50,dbscan,"{""eps"": 2.150507, ""metric"": ""euclidean"", ""min_samples"": 5}",9.186,,683,6853,0.13706,0.8889853358268738,6033.604577760285,0.4467425911683514,0.6831737160682678,146.6025863123927,1.293758683522794,,,,0.995886504650116,scenario-1,k-sensitivity
word2vec,50000,456,18.805,97.142,cpu,word2vec_286867f4fc67e1ed,reports\week4\primary_k_sensitivity_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,,,,,,100,50,True,50,dbscan,"{""eps"": 3.086135, ""metric"": ""euclidean"", ""min_samples"": 5}",18.843,,509,4647,0.09294,0.7240109443664551,1020.7327770231648,0.6768537203539262,0.612053394317627,215.6256043440851,1.3189125964753814,,,,0.9962106347084044,scenario-1,k-sensitivity
word2vec,50000,789,18.341,97.412,cpu,word2vec_8a7c6936009c00d7,reports\week4\primary_k_sensitivity_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,,,,,,100,50,True,50,dbscan,"{""eps"": 1.942936, ""metric"": ""euclidean"", ""min_samples"": 5}",15.891,,641,7757,0.15514,0.9110289812088012,9420.913036612656,0.3816441521368851,0.6842698454856873,137.6943186898951,1.2781469849745666,,,,0.9959251284599304,scenario-1,k-sensitivity
word2vec,50000,42,10.929,104.488,cpu,word2vec_da1df13ea1ae6270,reports\week4_pilot\primary_k_sensitivity_seed42\cache\word2vec_da1df13ea1ae6270.npz,False,,,,,,,100,50,True,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",62.521,,131,11693,0.23386,0.9169794917106628,4811.694293005985,2.42482772232499,0.6009461879730225,330.9227384389572,2.9878766398979475,,,,0.9960249066352844,scenario-1,k-sensitivity
word2vec,50000,101,10.611,97.082,cpu,word2vec_00dd3b9a0f02577b,reports\week4\primary_k_sensitivity_seed101\cache\word2vec_00dd3b9a0f02577b.npz,False,,,,,,,100,50,True,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",62.365,,131,11703,0.23406,0.9125378131866456,5166.353590788577,2.4763866352993835,0.6033008694648743,323.7840792793683,3.014903885988822,,,,0.9960289001464844,scenario-1,k-sensitivity
word2vec,50000,123,11.831,104.68,cpu,word2vec_589eceec29fc785c,reports\week4\primary_k_sensitivity_seed123\cache\word2vec_589eceec29fc785c.npz,False,,,,,,,100,50,True,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",83.406,,129,11600,0.232,0.9094730615615844,4813.926568472389,2.4640478270735584,0.5904406905174255,322.5603891206989,3.064817103936452,,,,0.995886504650116,scenario-1,k-sensitivity
word2vec,50000,456,18.805,97.142,cpu,word2vec_286867f4fc67e1ed,reports\week4\primary_k_sensitivity_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,,,,,,100,50,True,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",112.209,,126,12015,0.2403,0.9203651547431946,5200.500892058339,3.4654861237238044,0.5923402905464172,313.17560051422254,3.9604756245404342,,,,0.9962106347084044,scenario-1,k-sensitivity
word2vec,50000,789,18.341,97.412,cpu,word2vec_8a7c6936009c00d7,reports\week4\primary_k_sensitivity_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,,,,,,100,50,True,50,hdbscan,"{""allow_single_cluster"": false, ""metric"": ""euclidean"", ""min_cluster_size"": 50, ""min_samples"": null}",118.976,,128,11936,0.23872,0.9184384942054749,5894.079193303282,2.664682309884724,0.5964797735214233,310.9897788265225,3.207631519981996,,,,0.9959251284599304,scenario-1,k-sensitivity
word2vec,50000,42,10.929,104.488,cpu,word2vec_da1df13ea1ae6270,reports\week4_pilot\primary_k_sensitivity_seed42\cache\word2vec_da1df13ea1ae6270.npz,False,,,,,,,100,50,True,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",5.0,,50,0,0.0,0.5426871180534363,1068.5482184367704,2.277077455942558,,,,,-10826929.745459322,-10871460.80601731,0.9960249066352844,scenario-1,k-sensitivity
word2vec,50000,101,10.611,97.082,cpu,word2vec_00dd3b9a0f02577b,reports\week4\primary_k_sensitivity_seed101\cache\word2vec_00dd3b9a0f02577b.npz,False,,,,,,,100,50,True,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",4.5,,50,0,0.0,0.5373843908309937,1017.6612229682712,2.854766239078645,,,,,-9948695.938308338,-9993226.998866323,0.9960289001464844,scenario-1,k-sensitivity
word2vec,50000,123,11.831,104.68,cpu,word2vec_589eceec29fc785c,reports\week4\primary_k_sensitivity_seed123\cache\word2vec_589eceec29fc785c.npz,False,,,,,,,100,50,True,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",12.413,,50,0,0.0,0.5258474946022034,1029.8912057785565,2.528854370051274,,,,,-10279866.146702545,-10324397.20726053,0.995886504650116,scenario-1,k-sensitivity
word2vec,50000,456,18.805,97.142,cpu,word2vec_286867f4fc67e1ed,reports\week4\primary_k_sensitivity_seed456\cache\word2vec_286867f4fc67e1ed.npz,False,,,,,,,100,50,True,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",7.665,,50,0,0.0,0.5350252985954285,1051.846449929511,2.35129281211601,,,,,-10953176.71802918,-10997707.778587166,0.9962106347084044,scenario-1,k-sensitivity
word2vec,50000,789,18.341,97.412,cpu,word2vec_8a7c6936009c00d7,reports\week4\primary_k_sensitivity_seed789\cache\word2vec_8a7c6936009c00d7.npz,False,,,,,,,100,50,True,50,gmm,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",9.766,,50,0,0.0,0.542625367641449,1038.903358324866,2.5070404324310034,,,,,-11023283.975725278,-11067815.036283266,0.9959251284599304,scenario-1,k-sensitivity
