dataset,experiment,representation,clustering_method,seed_count,sample_size,silhouette_mean,calinski_harabasz_mean,davies_bouldin_mean,n_clusters_mean,noise_ratio_mean,embedding_time_s_mean,clustering_time_s_mean,peak_memory_mb_mean,silhouette_std,calinski_harabasz_std,davies_bouldin_std,n_clusters_std,noise_ratio_std,embedding_time_s_std,clustering_time_s_std,peak_memory_mb_std,combo,total_runtime_s_mean,is_pareto_optimal
scenario-1,optimal,tfidf,hdbscan,5,50000,0.9283946514129638,15756.32359354114,0.3950300819060596,366.8,0.104028,2.4526,63.274,92.0564,0.0026133626538336,1574.885701958527,0.0067428334673426,5.449770637375483,0.0045000133333135,1.3428835764875524,19.717272250491444,40.77112039544658,tfidf + hdbscan,65.7266,True
scenario-1,optimal,tfidf,dbscan,5,50000,0.9244371056556702,79365.51000612557,0.2200319844086447,567.4,0.086284,2.4526,7.702,92.0564,0.0032956843513935,26489.42183374982,0.0107031610233482,141.25968993311574,0.0093723572275068,1.3428835764875524,1.4594259145294084,40.77112039544658,tfidf + dbscan,10.1546,True
scenario-1,optimal,tfidf,kmeans,5,50000,0.782728123664856,5049.778859926133,0.8690501920626563,100.0,0.0,2.4526,5.226999999999999,92.0564,0.0046108092572397,93.29928325873014,0.0288947139347088,0.0,0.0,1.3428835764875524,1.6918435211330864,40.77112039544658,tfidf + kmeans,7.679599999999999,True
scenario-1,optimal,sbert,hdbscan,5,50000,0.9220574617385864,3070.882391132011,3.4466011153736984,182.2,0.285468,47.0164,88.1196,296.627,0.0040657137743764,486.0116303218495,0.4696357197382122,30.638211436048287,0.0118994335999659,2.9160087105494057,28.354501993510667,0.2882282081962182,sbert + hdbscan,135.136,False
scenario-1,optimal,word2vec,hdbscan,5,50000,0.9155588030815124,5177.310907525714,2.699086123661292,129.0,0.235788,6.256,75.6088,77.2634,0.0044602304659749,441.6271901591051,0.4383515473285269,2.121320343559645,0.0035357771422984,5.654703484710758,19.98799331348697,35.67903896968078,word2vec + hdbscan,81.8648,False
scenario-1,optimal,word2vec,dbscan,5,50000,0.8648333787918091,6437.963175808189,0.4686796522049217,635.8,0.134652,6.256,9.3886,77.2634,0.0796394195502611,3792.186677875369,0.1240426037661517,72.90884719977406,0.024820095084427,5.654703484710758,1.840625382852252,35.67903896968078,word2vec + dbscan,15.6446,False
scenario-1,optimal,tfidf,agglomerative,5,50000,0.7852674126625061,4908.704589887047,0.9095245640125356,100.0,0.0,2.4526,66.4086,92.0564,0.0051793412378116,101.09673952902044,0.0411503833130931,0.0,0.0,1.3428835764875524,7.379319636660276,40.77112039544658,tfidf + agglomerative,68.86120000000001,False
scenario-1,optimal,tfidf,gmm,5,50000,0.7176750421524047,2486.5186926355977,1.417070631003917,100.0,0.0,2.4526,8.2238,92.0564,0.0145144559235276,234.03869898264324,0.0752613287180528,0.0,0.0,1.3428835764875524,4.102879074503659,40.77112039544658,tfidf + gmm,10.676400000000001,False
scenario-1,optimal,word2vec,agglomerative,5,50000,0.6371070981025696,1240.588601968833,1.4440942176562612,100.0,0.0,6.2558,68.89739999999999,77.2634,0.0061176115424781,18.905627308479765,0.0496064477408143,0.0,0.0,5.654977648054853,0.8494694226398114,35.67903896968078,word2vec + agglomerative,75.15319999999998,False
scenario-1,optimal,word2vec,gmm,5,50000,0.6319176912307739,948.228969509194,2.204431293186277,100.0,0.0,6.256,8.147,77.2634,0.0089404558634701,5.426729277466031,0.1623378445579472,0.0,0.0,5.654703484710758,2.091246996411471,35.67903896968078,word2vec + gmm,14.403,False
scenario-1,optimal,word2vec,kmeans,5,50000,0.6283124685287476,1303.4670314915838,1.3614683960603238,100.0,0.0,6.256,7.8468,77.2634,0.0081193379919951,15.729009918389108,0.0598614038046426,0.0,0.0,5.654703484710758,2.275584034923781,35.67903896968078,word2vec + kmeans,14.1028,False
scenario-1,optimal,sbert,agglomerative,5,50000,0.588212537765503,742.8154390123975,1.9036619732806637,100.0,0.0,37.2512,69.3444,266.562,0.0030599082244085,4.330686517079576,0.0445066804952852,0.0,0.0,20.858834727759845,1.9056312077629247,67.09874561420652,sbert + agglomerative,106.59559999999999,False
scenario-1,optimal,sbert,gmm,5,50000,0.5816969871520996,651.0780910830879,2.1979229112534893,100.0,0.0,47.0164,8.724,296.627,0.007247991203639,18.278250943181035,0.029200983890968,0.0,0.0,2.9160087105494057,1.2444530927278858,0.2882282081962182,sbert + gmm,55.740399999999994,False
scenario-1,optimal,sbert,kmeans,5,50000,0.5805429339408874,804.4393088004645,1.7866193860679922,100.0,0.0,47.0164,13.2818,296.627,0.004724387776932,7.349449301574982,0.0531972622129495,0.0,0.0,2.9160087105494057,3.991129251227026,0.2882282081962182,sbert + kmeans,60.298199999999994,False
scenario-1,optimal,doc2vec,dbscan,5,50000,0.5240671157836914,71.56044707332899,0.7676878675910099,4.4,0.035456,37.2034,383.229,76.22619999999999,0.0594122300022625,36.6680616524017,0.0367286754840104,3.361547262794322,0.0025798604613428,33.86751519229009,56.090083900810846,34.7501566859777,doc2vec + dbscan,420.4324,False
scenario-1,optimal,doc2vec,hdbscan,5,50000,0.4417833507061005,208.02474306651453,0.8710840196519289,2.0,0.2487039999999999,37.2034,153.5034,76.22619999999999,0.026022558423624,47.44730992549194,0.0768808778905001,0.0,0.0135621782911153,33.86751519229009,10.2138776329071,34.7501566859777,doc2vec + hdbscan,190.7068,False
scenario-1,optimal,sbert,dbscan,5,50000,0.3921428978443145,186.81088015345557,0.7720260951859214,166.0,0.063232,47.0164,222.5962,296.627,0.0208411312487762,16.33547577261506,0.1353182148365947,202.98768435548004,0.0702332436955605,2.9160087105494057,110.41788424526165,0.2882282081962182,sbert + dbscan,269.6126,False
scenario-1,optimal,doc2vec,agglomerative,5,50000,0.3395027314079925,430.4374394723933,1.9791242991820213,45.8,0.0,37.201,84.683,76.234,0.4628906821614346,179.9516580352456,0.7217186995741424,39.98374669787713,0.0,33.87080129698735,2.361638731897833,34.739478745369794,doc2vec + agglomerative,121.88400000000001,False
scenario-1,optimal,doc2vec,kmeans,5,50000,0.1144741509109735,704.5454553033348,6.16799072354172,2.2,0.0,49.8154,0.636,90.3658,0.0555295366683614,15.945516434854882,0.7313295148381802,0.4472135954999578,0.0,27.798109167711388,0.1681249535315921,29.35263834308596,doc2vec + kmeans,50.4514,False
scenario-1,optimal,doc2vec,gmm,5,50000,-0.0655862003564834,221.55651170742863,3.931672976382373,100.0,0.0,49.8154,10.0778,90.3658,0.0026644434837738,3.9331333837387783,0.1761808269829687,0.0,0.0,27.798109167711388,0.4085635813432224,29.35263834308596,doc2vec + gmm,59.89319999999999,False
